grade,loan_count,total_volume,default_rate,defaulted_loans,avg_int_rate,avg_fico,avg_dti
A,235193,3266594350.0,0.06043547214415395,14214,7.113456225312829,729.5299264859074,15.542112690428711
B,393102,5202048525.0,0.133962686529196,52661,10.67921066288139,699.1425126303097,17.265389415469777
C,382323,5421290200.0,0.22443065156948444,85805,14.019233632295206,689.982557941845,18.742631649155296
D,201657,3075050425.0,0.30380299220954393,61264,17.71048185780806,685.2623960487363,19.934915872000477
E,94192,1654585350.0,0.38431076949210125,36199,21.10656467640564,683.9601983183285,20.540057011211143
F,32306,614866850.0,0.4514641243112735,14585,24.8757079180338,681.7949452114158,20.71906828452919
G,9326,190321325.0,0.49667595968260775,4632,27.542421188076347,680.1889341625563,20.904798413038815
